phenotype_name	source	concept_id	value_field	plausible_min	plausible_max	expected_completeness	approx_snp_h2	notes
hip_circumference	measurement	UNCONFIRMED		40	250	unknown, likely very low -- see notes (waist's own N is 22)	~0.3	LOINC 8286-7 is CONFIRMED WRONG via CDR query -- maps to concept_id 3002630, 'Thigh - right Maximum circumference', n_rows=0. Candidate replacement LOINC 62409-8 (PhenX - hip circumference protocol) not yet checked -- but given waist_circumference's own confirmed concept has only 22 persons total, hip circumference likely has similarly poor coverage regardless of which LOINC resolves correctly. Not worth spending more query budget on unless waist coverage turns out to be a fluke. Range in cm.
heart_rate	measurement	3027018		20	220	high	~0.25	Heart rate, LOINC 8867-4, confirmed via CDR query: n=464,639 persons -- largest cohort of any row here. Range in bpm. In-clinic single-reading pulse, Physical Measurements module -- distinct from fitbit_resting_heart_rate below.
total_cholesterol	measurement	3027114		50	500	high	~0.3	Cholesterol [Mass/volume] in Serum or Plasma, LOINC 2093-3, confirmed via CDR query: n=204,415 persons. Range in mg/dL.
creatinine	measurement	3016723		0.1	15	high	~0.3	Creatinine [Mass/volume] in Serum or Plasma, LOINC 2160-0, confirmed via CDR query: n=285,099 persons. Range in mg/dL.
hemoglobin	measurement	3000963		3	20	high	~0.4	Hemoglobin [Mass/volume] in Blood, LOINC 718-7, confirmed via CDR query: n=280,701 persons. Range in g/dL.
wbc_count	measurement	3000905		0.5	100	high	~0.5	Leukocytes [#/volume] in Blood by Automated count, LOINC 6690-2, confirmed via CDR query: n=262,563 persons. Range in x10^3/uL.
platelet_count	measurement	3024929		5	1000	high	~0.55	Platelets [#/volume] in Blood by Automated count, LOINC 777-3, confirmed via CDR query: n=262,037 persons. Range in x10^3/uL.
alt	measurement	3006923		1	500	medium	~0.3	Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma, LOINC 1742-6, confirmed via CDR query: n=243,311 persons. Range in U/L.
waist_hip_ratio	derived_ratio	UNCONFIRMED,UNCONFIRMED		0.5	2.0	VERY LOW (deprioritized -- depends on waist_circumference, N=22)	~0.2 (WHRadjBMI, a distinct and more commonly GWAS'd variant, has a well-established sex-heterogeneous signal -- see notes)	DEPRIORITIZED: waist_circumference's confirmed concept has only 22 persons in the CDR -- this phenotype is very unlikely to be usable regardless of hip_circumference's resolution. NEW, DERIVED. Not a single measurement -- waist_circumference / hip_circumference for the same person, ideally same visit. concept_id holds both underlying concept_ids (waist,hip, in that order), matching waist_circumference/hip_circumference above once those are confirmed. source == 'derived_ratio' is NOT wired up in pull_phenotype() -- needs a new code path that pulls both concept_ids, joins on person_id (and nearest measurement_date, not just 'most recent value' independently for each, or the pairing could mix measurements from different visits), and computes the ratio; a materially different shape than every other row here. Body-fat-distribution trait, genetically partly distinct from BMI/overall adiposity -- WHR adjusted for BMI (WHRadjBMI) is the more standard GWAS phenotype in the literature (GIANT consortium) and shows notably stronger genetic signal in women than men; adjusting for BMI isn't implemented here (would mean using bmi as a regression covariate for another phenotype, not currently how pull_covariates()/build_covariate_sets() work) but is worth keeping in mind if this trait's results look unexpectedly weak or sex-inconsistent.
alcohol_audit_c_score	survey_composite	40771103,40771104,1586213		0	12	medium (verified via CDR query: item n_persons 517,623 / 415,397 / 416,837 respectively)	~0.1-0.15	LIFESTYLE. AUDIT-C (Alcohol Use Disorders Identification Test - Concise), 3 items, fully included in AoU's Lifestyle survey and independently scorable per its own instructions (sum of 3 item responses, each 0-4, total 0-12) -- see https://support.researchallofus.org/hc/en-us/articles/6085586512660-Lifestyle-Baseline-Survey-Details-and-Resources . concept_id holds all 3 underlying question concept_ids (comma-separated: 40771103 frequency, 40771104 typical quantity, 1586213 6+-drinks/binge), confirmed via CDR query against {CDR}.concept_relationship -- the vocabulary's own PPI concept_ids (Alcohol_DrinkFrequencyPastYear/Alcohol_AverageDailyDrinkCount) turned out non-standard and entirely unpopulated in observation_concept_id; these are what they "Maps to" instead, same pattern as hip_circumference's LOINC bug above. Answers are value_as_concept_id-coded (not plain numbers) -- each item's answer options map cleanly onto the standard 0-4 AUDIT-C scale (verified directly against real answer-option counts), implemented via a lookup table in residualize_phenotypes.ipynb's "Derived phenotype: alcohol AUDIT-C score" cell. source == 'survey_composite' is still NOT wired up in pull_phenotype() (same as waist_hip_ratio's derived_ratio -- doesn't fit its one-concept-id-in/one-value-out shape), built as its own cell instead. SNP-h2 estimate is for alcohol consumption/problematic-use phenotypes generally (e.g. Sanchez-Roige et al. 2019 PAU GWAS), general-population, not AoU-specific.
cigarettes_per_day	survey	40766929,40766930		1	100	low-medium (verified via CDR query: n_persons 226,265 current-smoker branch + 226,219 lifetime-average branch)	~0.1-0.2	LIFESTYLE. AoU's Lifestyle survey includes detailed tobacco-use items sourced from the Tobacco Use Supplement to the Current Population Survey (TUS-CPS) -- see https://support.researchallofus.org/hc/en-us/articles/6085586512660-Lifestyle-Baseline-Survey-Details-and-Resources . concept_id holds 2 comma-separated PPI concept_ids (40766929 "how many cigarettes do you smoke per day now", 40766930 "...average of the entire time you smoked...") -- AoU branches by current-vs-former smoking status, so a person answers at most one; confirmed via CDR query that both are real, standard, populated concept_ids with clean value_as_number answers (Don't-know/Skip/prefer-not-to-answer responses are value_as_concept_id-coded instead, so they're already excluded by a value_as_number IS NOT NULL filter, no lookup needed). source == 'survey' is now wired up in pull_phenotype() -- same most-recent-answer-per-person shape as 'measurement', just against {CDR}.observation instead, which naturally coalesces across both branch concept_ids. SNP-h2 estimate is for smoking quantity phenotypes generally (e.g. GSCAN consortium's CigDay), general-population, not AoU-specific. Smoking pack-years (a more standard cumulative-exposure phenotype) would need this item combined with years-smoked and start/quit age -- a further derived_ratio/composite, not attempted here.
fitbit_mean_daily_steps	fitbit	N/A	activity_summary.steps	0	50000	low (Fitbit-linked subset only)	~0.1-0.2	COOL/AoU-SPECIAL. AGGREGATION REQUIRED: unlike every measurement-sourced phenotype above (single 'most recent value' per person), Fitbit data is longitudinal -- one row per person per day (activity_summary/sleep_daily_summary) or per minute (heart_rate_minute_level). Needs averaging over each person's available days before it fits this pipeline's one-value-per-person shape. Open design questions, not yet resolved: (1) minimum number of valid days required per person before including them at all (wearable/accelerometer studies, e.g. UK Biobank, typically require a wear-time/day-count threshold so 1-2 noisy days don't dominate someone's value); (2) mean vs. median across days; (3) restrict to a date window (e.g. near REFERENCE_DATE) or use all available history. source == 'fitbit' still not wired up in pull_phenotype() -- that AND the day-averaging logic are two separate things to design before implementing. Table exists in two variants in this CDR -- lowercase with row_id/src_id, and an UPPERCASE variant without those columns -- verify n_persons on both before picking one (lowercase matches the rest of the CDR's naming convention, e.g. measurement/person, but that's inference, not confirmed).
fitbit_mean_sedentary_minutes	fitbit	N/A	activity_summary.sedentary_minutes	0	1440	low (Fitbit-linked subset only)	~0.1-0.2	COOL/AoU-SPECIAL. AGGREGATION REQUIRED: unlike every measurement-sourced phenotype above (single 'most recent value' per person), Fitbit data is longitudinal -- one row per person per day (activity_summary/sleep_daily_summary) or per minute (heart_rate_minute_level). Needs averaging over each person's available days before it fits this pipeline's one-value-per-person shape. Open design questions, not yet resolved: (1) minimum number of valid days required per person before including them at all (wearable/accelerometer studies, e.g. UK Biobank, typically require a wear-time/day-count threshold so 1-2 noisy days don't dominate someone's value); (2) mean vs. median across days; (3) restrict to a date window (e.g. near REFERENCE_DATE) or use all available history. source == 'fitbit' still not wired up in pull_phenotype() -- that AND the day-averaging logic are two separate things to design before implementing. Table exists in two variants in this CDR -- lowercase with row_id/src_id, and an UPPERCASE variant without those columns -- verify n_persons on both before picking one (lowercase matches the rest of the CDR's naming convention, e.g. measurement/person, but that's inference, not confirmed).
fitbit_mean_very_active_minutes	fitbit	N/A	activity_summary.very_active_minutes	0	600	low (Fitbit-linked subset only)	~0.1-0.2	COOL/AoU-SPECIAL. AGGREGATION REQUIRED: unlike every measurement-sourced phenotype above (single 'most recent value' per person), Fitbit data is longitudinal -- one row per person per day (activity_summary/sleep_daily_summary) or per minute (heart_rate_minute_level). Needs averaging over each person's available days before it fits this pipeline's one-value-per-person shape. Open design questions, not yet resolved: (1) minimum number of valid days required per person before including them at all (wearable/accelerometer studies, e.g. UK Biobank, typically require a wear-time/day-count threshold so 1-2 noisy days don't dominate someone's value); (2) mean vs. median across days; (3) restrict to a date window (e.g. near REFERENCE_DATE) or use all available history. source == 'fitbit' still not wired up in pull_phenotype() -- that AND the day-averaging logic are two separate things to design before implementing. Table exists in two variants in this CDR -- lowercase with row_id/src_id, and an UPPERCASE variant without those columns -- verify n_persons on both before picking one (lowercase matches the rest of the CDR's naming convention, e.g. measurement/person, but that's inference, not confirmed).
fitbit_mean_calories_out	fitbit	N/A	activity_summary.calories_out	500	10000	low (Fitbit-linked subset only)	~0.1-0.2 (speculative -- energy expenditure is less commonly GWAS'd directly than steps/activity minutes)	COOL/AoU-SPECIAL. Total daily calories out (activity_calories is the activity-only component, an alternative if a cleaner activity-specific signal is wanted). AGGREGATION REQUIRED: unlike every measurement-sourced phenotype above (single 'most recent value' per person), Fitbit data is longitudinal -- one row per person per day (activity_summary/sleep_daily_summary) or per minute (heart_rate_minute_level). Needs averaging over each person's available days before it fits this pipeline's one-value-per-person shape. Open design questions, not yet resolved: (1) minimum number of valid days required per person before including them at all (wearable/accelerometer studies, e.g. UK Biobank, typically require a wear-time/day-count threshold so 1-2 noisy days don't dominate someone's value); (2) mean vs. median across days; (3) restrict to a date window (e.g. near REFERENCE_DATE) or use all available history. source == 'fitbit' still not wired up in pull_phenotype() -- that AND the day-averaging logic are two separate things to design before implementing. Table exists in two variants in this CDR -- lowercase with row_id/src_id, and an UPPERCASE variant without those columns -- verify n_persons on both before picking one (lowercase matches the rest of the CDR's naming convention, e.g. measurement/person, but that's inference, not confirmed).
fitbit_mean_sleep_minutes	fitbit	N/A	sleep_daily_summary.minute_asleep	0	900	low (Fitbit-linked subset only)	~0.1-0.2	COOL/AoU-SPECIAL. AGGREGATION REQUIRED: unlike every measurement-sourced phenotype above (single 'most recent value' per person), Fitbit data is longitudinal -- one row per person per day (activity_summary/sleep_daily_summary) or per minute (heart_rate_minute_level). Needs averaging over each person's available days before it fits this pipeline's one-value-per-person shape. Open design questions, not yet resolved: (1) minimum number of valid days required per person before including them at all (wearable/accelerometer studies, e.g. UK Biobank, typically require a wear-time/day-count threshold so 1-2 noisy days don't dominate someone's value); (2) mean vs. median across days; (3) restrict to a date window (e.g. near REFERENCE_DATE) or use all available history. source == 'fitbit' still not wired up in pull_phenotype() -- that AND the day-averaging logic are two separate things to design before implementing. Table exists in two variants in this CDR -- lowercase with row_id/src_id, and an UPPERCASE variant without those columns -- verify n_persons on both before picking one (lowercase matches the rest of the CDR's naming convention, e.g. measurement/person, but that's inference, not confirmed).
fitbit_mean_minutes_awake	fitbit	N/A	sleep_daily_summary.minute_awake	0	600	low (Fitbit-linked subset only)	~0.1-0.2	COOL/AoU-SPECIAL. Minutes awake *within* a sleep episode (restlessness/fragmentation), not total waking time in a day. AGGREGATION REQUIRED: unlike every measurement-sourced phenotype above (single 'most recent value' per person), Fitbit data is longitudinal -- one row per person per day (activity_summary/sleep_daily_summary) or per minute (heart_rate_minute_level). Needs averaging over each person's available days before it fits this pipeline's one-value-per-person shape. Open design questions, not yet resolved: (1) minimum number of valid days required per person before including them at all (wearable/accelerometer studies, e.g. UK Biobank, typically require a wear-time/day-count threshold so 1-2 noisy days don't dominate someone's value); (2) mean vs. median across days; (3) restrict to a date window (e.g. near REFERENCE_DATE) or use all available history. source == 'fitbit' still not wired up in pull_phenotype() -- that AND the day-averaging logic are two separate things to design before implementing. Table exists in two variants in this CDR -- lowercase with row_id/src_id, and an UPPERCASE variant without those columns -- verify n_persons on both before picking one (lowercase matches the rest of the CDR's naming convention, e.g. measurement/person, but that's inference, not confirmed).
fitbit_mean_minutes_in_bed	fitbit	N/A	sleep_daily_summary.minute_in_bed	0	1000	low (Fitbit-linked subset only)	~0.1-0.2	COOL/AoU-SPECIAL. AGGREGATION REQUIRED: unlike every measurement-sourced phenotype above (single 'most recent value' per person), Fitbit data is longitudinal -- one row per person per day (activity_summary/sleep_daily_summary) or per minute (heart_rate_minute_level). Needs averaging over each person's available days before it fits this pipeline's one-value-per-person shape. Open design questions, not yet resolved: (1) minimum number of valid days required per person before including them at all (wearable/accelerometer studies, e.g. UK Biobank, typically require a wear-time/day-count threshold so 1-2 noisy days don't dominate someone's value); (2) mean vs. median across days; (3) restrict to a date window (e.g. near REFERENCE_DATE) or use all available history. source == 'fitbit' still not wired up in pull_phenotype() -- that AND the day-averaging logic are two separate things to design before implementing. Table exists in two variants in this CDR -- lowercase with row_id/src_id, and an UPPERCASE variant without those columns -- verify n_persons on both before picking one (lowercase matches the rest of the CDR's naming convention, e.g. measurement/person, but that's inference, not confirmed).
fitbit_mean_heart_rate	fitbit	N/A	heart_rate_minute_level.heart_rate_value	30	150	low (Fitbit-linked subset only)	~0.2-0.3	COOL/AoU-SPECIAL. Not a clean 'resting heart rate' -- heart_rate_minute_level has no activity/rest flag, so this averages every recorded minute regardless of activity level (a 'typical', not 'resting', heart rate). A true resting-HR phenotype would need restricting to low-activity/sleep windows first (e.g. joining against sleep_level's start_datetime/duration_in_min), a further derivation not attempted here. heart_rate_summary (the other Fitbit table found) gives minutes-in-zone + min/max per zone per day, not a single daily average either -- also not a direct fit. AGGREGATION REQUIRED: unlike every measurement-sourced phenotype above (single 'most recent value' per person), Fitbit data is longitudinal -- one row per person per day (activity_summary/sleep_daily_summary) or per minute (heart_rate_minute_level). Needs averaging over each person's available days before it fits this pipeline's one-value-per-person shape. Open design questions, not yet resolved: (1) minimum number of valid days required per person before including them at all (wearable/accelerometer studies, e.g. UK Biobank, typically require a wear-time/day-count threshold so 1-2 noisy days don't dominate someone's value); (2) mean vs. median across days; (3) restrict to a date window (e.g. near REFERENCE_DATE) or use all available history. source == 'fitbit' still not wired up in pull_phenotype() -- that AND the day-averaging logic are two separate things to design before implementing. Table exists in two variants in this CDR -- lowercase with row_id/src_id, and an UPPERCASE variant without those columns -- verify n_persons on both before picking one (lowercase matches the rest of the CDR's naming convention, e.g. measurement/person, but that's inference, not confirmed).
